BHARTI AIRTEL LTD

Pan India

CDR OF MSISDN : 8866097000 from 28-Apr-2023 00:00:00 to 06-May-2023 11:59:59

MSISDN,IMEI,IMSI,Downlink_Vol,Uplink_Vol,Session_Start_Time,Session_End_Time,Pre_Post,Home_Roaming_Circle,Roaming_Network_Indicator,ICR_Operator_Name,Home_Circle,Translated_IP_Public_IPv4,Public_IPv6,Translated_Port_Public_Port,Destination_IP,Destination_Port,Source_IP,Source_Port,Duration,Charging_ID,Access_Point_Name,PDP_Address,PGW_GGSN_IP_Address,2g/3g/4g/5g, Latitude, Longitude, CELL ID
8866097000,8660880556874835,404980493946782,9646686,3448393,01-May-2023 00:00:02,01-May-2023 00:01:26,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,43586,129.227.254.242,8888,100.77.26.38,45246,7199,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:02:02,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,43594,157.240.16.32,443,100.77.26.38,51684,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:05:03,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,43596,129.227.254.242,8888,100.77.26.38,45246,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:10:01,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44002,129.227.254.242,8888,100.77.26.38,45262,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:10:02,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44010,129.227.254.13,443,100.77.26.38,50394,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:10:02,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44008,83.229.88.5,5223,100.77.26.38,50860,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:10:02,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44006,83.229.88.9,5228,100.77.26.38,45760,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:10:02,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44004,83.229.88.7,5223,100.77.26.38,44922,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:10:03,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44012,129.227.254.11,443,100.77.26.38,47540,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:10:03,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44014,129.227.254.11,443,100.77.26.38,47542,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:10:03,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44016,157.240.16.32,443,100.77.26.38,51704,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:10:05,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,24370,157.240.16.16,443,100.77.26.38,45856,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:10:36,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44008,129.227.254.172,443,100.77.26.38,46272,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:10:36,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44006,35.190.118.8,443,100.77.26.38,48786,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:14:21,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44162,103.56.238.17,443,100.77.26.38,44166,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:14:59,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44164,35.190.118.8,443,100.77.26.38,48880,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:14:59,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44166,13.127.247.216,443,100.77.26.38,58258,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
8866097000,8660880556874835,404980493946782,5349293,1439830,01-May-2023 00:15:00,01-May-2023 01:52:56,Pre,GUJRAT,HOME,,GUJRAT,106.222.45.55,2401:4900:1a76:8d9a:0:0:c21:85ee,44168,13.127.247.216,443,100.77.26.38,58270,6689,209815022,airtelgprs.com,100.77.26.38,10.61.27.68,4G,21.52230,70.45860,404-98-8338-231398503
